cu-75%sn.500rpm-1-1451-1_1.ras,,,
X,Y,,
13.19,3220,,
13.2,3320,,
13.21,3400,,
13.22,3180,,
13.23,2980,,
13.24,3000,,
13.25,2970,,
13.26,2830,,
13.27,3110,,
13.28,3290,,
13.29,3200,,
13.3,3020,,
13.31,3100,,
13.32,3080,,
13.33,3190,,
13.34,2980,,
13.35,2970,,
13.36,3110,,
13.37,3310,,
13.38,3180,,
13.39,3040,,
13.4,3300,,
13.41,3460,,
13.42,3290,,
13.43,3120,,
13.44,3000,,
13.45,3050,,
13.46,3030,,
13.47,3100,,
13.48,3300,,
13.49,3320,,
13.5,3170,,
13.51,3330,,
13.52,3310,,
13.53,3410,,
13.54,3220,,
13.55,3070,,
13.56,3130,,
13.57,3130,,
13.58,3060,,
13.59,3180,,
13.6,3120,,
13.61,3070,,
13.62,3130,,
13.63,2960,,
13.64,3270,,
13.65,3550,,
13.66,3330,,
13.67,2980,,
13.68,3020,,
13.69,3110,,
13.7,2960,,
13.71,3100,,
13.72,3250,,
13.73,3180,,
13.74,3170,,
13.75,2970,,
13.76,2880,,
13.77,3130,,
13.78,3300,,
13.79,3200,,
13.8,3100,,
13.81,3250,,
13.82,3030,,
13.83,2920,,
13.84,3030,,
13.85,3070,,
13.86,3230,,
13.87,3370,,
13.88,3090,,
13.89,2950,,
13.9,3170,,
13.91,3090,,
13.92,3080,,
13.93,2890,,
13.94,2910,,
13.95,2700,,
13.96,2940,,
13.97,2910,,
13.98,2960,,
13.99,3010,,
14,3150,,
14.01,3020,,
14.02,2870,,
14.03,2870,,
14.04,2940,,
14.05,3090,,
14.06,2890,,
14.07,2990,,
14.08,3200,,
14.09,3180,,
14.1,3200,,
14.11,3370,,
14.12,3200,,
14.13,2980,,
14.14,2950,,
14.15,2930,,
14.16,3130,,
14.17,3090,,
14.18,3090,,
14.19,3110,,
14.2,3220,,
14.21,3120,,
14.22,3380,,
14.23,2970,,
14.24,2770,,
14.25,3100,,
14.26,3210,,
14.27,3140,,
14.28,2990,,
14.29,2880,,
14.3,2760,,
14.31,2810,,
14.32,2960,,
14.33,3060,,
14.34,3090,,
14.35,2990,,
14.36,3110,,
14.37,3080,,
14.38,3180,,
14.39,2940,,
14.4,2860,,
14.41,2890,,
14.42,2830,,
14.43,3050,,
14.44,3180,,
14.45,3080,,
14.46,3110,,
14.47,3080,,
14.48,3060,,
14.49,2980,,
14.5,2900,,
14.51,2990,,
14.52,3000,,
14.53,2860,,
14.54,2780,,
14.55,3010,,
14.56,3150,,
14.57,2870,,
14.58,2910,,
14.59,2800,,
14.6,2870,,
14.61,3080,,
14.62,3000,,
14.63,2810,,
14.64,2950,,
14.65,3050,,
14.66,3130,,
14.67,2970,,
14.68,2970,,
14.69,3000,,
14.7,3150,,
14.71,3010,,
14.72,2990,,
14.73,2990,,
14.74,3040,,
14.75,2950,,
14.76,2860,,
14.77,3070,,
14.78,3050,,
14.79,2940,,
14.8,2900,,
14.81,3140,,
14.82,3110,,
14.83,3070,,
14.84,2910,,
14.85,2950,,
14.86,2880,,
14.87,2960,,
14.88,2890,,
14.89,2960,,
14.9,2940,,
14.91,3140,,
14.92,3120,,
14.93,3060,,
14.94,3010,,
14.95,2910,,
14.96,2950,,
14.97,2940,,
14.98,3190,,
14.99,3170,,
15,3250,,
15.01,2930,,
15.02,3110,,
15.03,2970,,
15.04,3050,,
15.05,2810,,
15.06,2870,,
15.07,2990,,
15.08,2790,,
15.09,2950,,
15.1,2940,,
15.11,2800,,
15.12,2970,,
15.13,2940,,
15.14,2950,,
15.15,3060,,
15.16,3000,,
15.17,2790,,
15.18,2830,,
15.19,3000,,
15.2,3100,,
15.21,3090,,
15.22,3100,,
15.23,2970,,
15.24,3000,,
15.25,2970,,
15.26,2940,,
15.27,2860,,
15.28,2920,,
15.29,2840,,
15.3,2900,,
15.31,2910,,
15.32,2950,,
15.33,2800,,
15.34,2750,,
15.35,2870,,
15.36,2750,,
15.37,2900,,
15.38,2870,,
15.39,3020,,
15.4,3000,,
15.41,2910,,
15.42,2770,,
15.43,2970,,
15.44,3010,,
15.45,2870,,
15.46,2700,,
15.47,2820,,
15.48,2960,,
15.49,2920,,
15.5,2860,,
15.51,3000,,
15.52,2950,,
15.53,2820,,
15.54,2840,,
15.55,2800,,
15.56,2910,,
15.57,3130,,
15.58,3190,,
15.59,3070,,
15.6,2870,,
